entry_datetime,entry_price,islong
20120801 10:30:00,2378.400000,True
20120802 13:15:00,2347.600000,False
20120808 10:15:00,2411.800000,True
20120808 11:15:00,2400,False
20120809 13:15:00,2412.800000,True
20120813 10:00:00,2398.400000,False
20120817 13:00:00,2328.400000,False
20120820 10:00:00,2302.600000,False
20120827 10:00:00,2277.800000,False
20120830 13:30:00,2215,False
20120903 10:00:00,2226.800000,True
20120906 11:15:00,2211.400000,False
20120907 10:45:00,2300.600000,True
20120911 10:15:00,2312.800000,False
20120912 13:00:00,2316.400000,False
20120914 10:15:00,2323.600000,False
20120920 10:45:00,2234.800000,False
20120924 13:00:00,2237.200000,True
20120924 14:00:00,2227.600000,True
20120926 13:15:00,2205.400000,False
20121009 10:30:00,2342.200000,True
20121009 11:15:00,2345.400000,True
20121012 11:00:00,2317.600000,False
20121022 13:30:00,2349.800000,True
20121025 14:00:00,2315.400000,False
20121101 10:15:00,2295.800000,True
20121105 10:30:00,2305.600000,False
20121106 10:30:00,2275.800000,False
20121112 13:30:00,2243.200000,False
20121113 10:00:00,2229.600000,False
20121115 10:45:00,2224,True
20121115 13:00:00,2215.800000,False
20121121 11:15:00,2171,False
20121121 14:00:00,2185.800000,True
20121123 10:15:00,2209,True
20121207 10:30:00,2238.200000,True
20121212 11:00:00,2265,False
20121214 10:00:00,2292.400000,True
20121225 10:30:00,2419,True
20121227 09:30:00,2487,True
20130104 11:15:00,2512.800000,False
20130108 10:15:00,2518.400000,False
20130108 13:00:00,2551.400000,True
20130114 13:00:00,2567.400000,True
20130118 13:30:00,2621.600000,True
20130124 10:15:00,2658.200000,True
20130124 11:15:00,2626.400000,False
20130201 11:15:00,2714.800000,True
20130205 13:15:00,2786.800000,True
20130207 10:00:00,2779.400000,False
20130221 09:30:00,2676,False
20130225 09:30:00,2628.600000,True
20130225 10:45:00,2625.600000,True
20130228 13:30:00,2677.200000,True
20130304 13:00:00,2587.200000,False
20130311 09:45:00,2585.800000,False
20130311 10:45:00,2619.600000,True
20130312 13:00:00,2575.400000,False
20130315 11:15:00,2578,True
20130320 10:45:00,2578.200000,True
20130325 10:30:00,2612.600000,False
20130326 10:45:00,2557,False
20130326 13:30:00,2569.800000,False
20130328 11:00:00,2508.600000,False
20130402 11:15:00,2471.200000,False
20130402 14:00:00,2488.400000,False
20130411 10:45:00,2482.600000,False
20130415 10:45:00,2432.200000,False
20130418 10:15:00,2463,True
20130418 11:00:00,2443,False
20130419 13:15:00,2520,True
20130423 09:45:00,2504.800000,False
20130503 10:00:00,2481.400000,True
20130514 11:15:00,2478.400000,False
20130523 13:00:00,2612.200000,True
20130528 14:00:00,2604.200000,True
20130604 11:15:00,2567.400000,False
20130607 13:00:00,2506,False
20130613 10:45:00,2379.600000,False
20130617 09:45:00,2397.800000,False
20130619 10:30:00,2360.600000,False
20130624 10:15:00,2228.800000,False
20130627 13:30:00,2122.400000,False
20130628 14:00:00,2132.200000,False
20130704 13:30:00,2171,True
20130708 10:30:00,2139.800000,True
20130710 09:45:00,2137.800000,True
20130711 13:15:00,2295.800000,True
20130723 10:00:00,2235.400000,True
20130730 11:00:00,2189.600000,True
20130809 13:00:00,2244.200000,False
20130814 10:00:00,2386.400000,True
20130814 10:30:00,2368.800000,False
20130823 13:30:00,2273.600000,False
20130828 10:00:00,2304,False
20130905 10:00:00,2337.400000,False
20130905 13:30:00,2336.200000,False
20130906 13:45:00,2353,True
20130912 13:15:00,2512.400000,True
20130916 10:45:00,2480.200000,False
20130923 10:00:00,2467.800000,True
20130926 11:15:00,2393.600000,False
20130930 09:45:00,2423.800000,True
